ticker,name,type,exchange,currency,sector,universe,asset_class
AR3.AX,Australian Rare Earths Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AR9.AX,Archtis Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
ARA.AX,Ariadne Australia Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
ARB.AX,Arb Corporation Limited.,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
ARC.AX,Arc Funds Limited,equity,Australia,AUD,Financials,asx_listed,Equities
ARD.AX,Argent Minerals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ARF.AX,Arena Reit.,equity,Australia,AUD,Real Estate,asx_listed,Equities
ARG.AX,Argo Investments Limited,equity,Australia,AUD,,asx_listed,Equities
ARI.AX,Arika Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ARL.AX,Ardea Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ARN.AX,Aldoro Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ARO.AX,Altoro Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ARR.AX,American Rare Earths Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ART.AX,Airtasker Limited,equity,Australia,AUD,Communication Services,asx_listed,Equities
ARU.AX,Arafura Rare Earths Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
ARV.AX,Artemis Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ARX.AX,Aroa Biosurgery Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
AS1.AX,Asara Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
AS2.AX,Askari Metals Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ASB.AX,Austal Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
ASG.AX,Autosports Group Limited.,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
ASH.AX,Ashley Services Group Limited,equity,Australia,AUD,Industrials,asx_listed,Equities
ASL.AX,Andean Silver Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ASN.AX,Anson Resources Limited,equity,Australia,AUD,Materials,asx_listed,Equities
ASP.AX,Aspermont Limited.,equity,Australia,AUD,Communication Services,asx_listed,Equities
ASQ.AX,Australian Silica Quartz Group Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
ASV.AX,Asset Vision Co Ltd,equity,Australia,AUD,Industrials,asx_listed,Equities
ASX.AX,Asx Limited,equity,Australia,AUD,Financials,asx_listed,Equities
AT1.AX,Atomo Diagnostics Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
AT4.AX,American Tungsten & Antimony Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
ATA.AX,Atturra Limited,equity,Australia,AUD,Information Technology,asx_listed,Equities
ATC.AX,Altech Batteries Ltd,equity,Australia,AUD,Materials,asx_listed,Equities
ATG.AX,Articore Group Limited,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
ATH.AX,Alterity Therapeutics Limited,equity,Australia,AUD,Health Care,asx_listed,Equities
ATM.AX,Pt Antam (Persero) Tbk,equity,Australia,AUD,Materials,asx_listed,Equities
ATP.AX,Atlas Pearls Ltd,equity,Australia,AUD,Consumer Discretionary,asx_listed,Equities
ATR.AX,Astron Limited,equity,Australia,AUD,Materials,asx_listed,Equities
